Youtuber,lowest_yearly_earnings,highest_yearly_earnings,channel_date,estimated_yearly_income,Category
"tanboy kun",144500,2300000,2016-10-27,2084152.95,"People & Blogs"
"News 24",1100000,17800000,2006-02-05,1975735.42,"News & Politics"
"El Payaso Plim Plim",1900000,30700000,2013-10-18,6899033.67,"Film & Animation"
MissaSinfonia,82300,1300000,2011-01-05,758002.51,Comedy
DeGoBooM,300600,4800000,2014-02-01,2802757.58,Gaming
"News18 India",1200000,18900000,2007-10-25,1815904.89,"News & Politics"
"Fun For Kids TV - Hindi Rhymes",329500,5300000,2017-09-27,5074923.75,Entertainment
IGN,295000,4700000,2006-09-19,3789909.78,Gaming
Aphmau,1300000,21100000,2012-08-13,6459485.99,Gaming
"Koray Zeynep",1300000,20500000,2016-07-08,9463175.71,"People & Blogs"
Apple,139500,2200000,2005-06-22,228094.47,"Science & Technology"
"Taarak Mehta Ka Ooltah Chashmah",995800,15900000,2014-08-04,5054105.80,Entertainment
"Marques Brownlee",157000,2500000,2008-03-21,961843.33,"Science & Technology"
Anitta,218100,3500000,2011-11-02,2445737.53,Music
TheBrianMaps,111500,1800000,2012-06-04,1617576.26,Comedy
"Queen Official",281300,4500000,2008-07-07,2892786.36,Music
"Pop Chartbusters",218700,3500000,2011-08-26,2894670.15,Music
VICE,109100,1700000,2005-12-16,1024389.61,Entertainment
"Danny Fitt",825800,13200000,2016-12-31,5453873.05,"People & Blogs"
"Bispo Bruno Leonardo",448600,7200000,2016-04-10,2013473.52,"Nonprofits & Activism"
CoryxKenshin,315300,5000000,2009-04-27,2029418.75,Gaming
SriBalajiMovies,462100,7400000,2011-09-29,3146619.06,Entertainment
"Lahari Music - TSeries",267000,4300000,2011-11-21,3982072.62,Music
"Jordan Matter",597100,9600000,2006-12-21,1369296.13,Entertainment
FailArmy,339000,5400000,2011-07-05,1012420.23,Comedy
"BBC News Hindi",393600,6300000,2009-09-22,2012352.89,"News & Politics"
"UFC - Ultimate Fighting Championship",399600,6400000,2006-03-04,1679016.64,Sports
Ch7HD,263300,4200000,2010-05-17,2911767.52,Entertainment
"SAM SMITH",257300,4100000,2012-09-14,3698278.12,Music
Pitbull,264000,4200000,2006-07-05,2935462.21,Music
"Bollywood Classics",454400,7300000,2011-10-13,2380608.42,Entertainment
Technoblade,53800,861300,2013-10-28,662581.02,Gaming
"Jennifer Lopez",190300,3000000,2005-11-18,2272720.63,Music
T3ddy,99000,1600000,2012-01-16,1087340.17,Comedy
"POPS Kids",770200,12300000,2014-01-14,4339374.61,Music
"Thairath Online",674300,10800000,2010-09-27,4481181.94,"News & Politics"
